,inkml,img,lg,symlg
0,/train/INKML/CROHME2019_train/001-equation000.inkml,/train/IMG_rendering/001-equation000.png,/train/LG/CROHME2019_train/001-equation000.lg,/train/SymLG/CROHME2019_train/001-equation000.lg
1,/train/INKML/CROHME2019_train/001-equation001.inkml,/train/IMG_rendering/001-equation001.png,/train/LG/CROHME2019_train/001-equation001.lg,/train/SymLG/CROHME2019_train/001-equation001.lg
2,/train/INKML/CROHME2019_train/001-equation0010.inkml,/train/IMG_rendering/001-equation0010.png,/train/LG/CROHME2019_train/001-equation0010.lg,/train/SymLG/CROHME2019_train/001-equation0010.lg
3,/train/INKML/CROHME2019_train/001-equation0011.inkml,/train/IMG_rendering/001-equation0011.png,/train/LG/CROHME2019_train/001-equation0011.lg,/train/SymLG/CROHME2019_train/001-equation0011.lg
4,/train/INKML/CROHME2019_train/001-equation0012.inkml,/train/IMG_rendering/001-equation0012.png,/train/LG/CROHME2019_train/001-equation0012.lg,/train/SymLG/CROHME2019_train/001-equation0012.lg
5,/train/INKML/CROHME2019_train/001-equation0013.inkml,/train/IMG_rendering/001-equation0013.png,/train/LG/CROHME2019_train/001-equation0013.lg,/train/SymLG/CROHME2019_train/001-equation0013.lg
6,/train/INKML/CROHME2019_train/001-equation002.inkml,/train/IMG_rendering/001-equation002.png,/train/LG/CROHME2019_train/001-equation002.lg,/train/SymLG/CROHME2019_train/001-equation002.lg
7,/train/INKML/CROHME2019_train/001-equation003.inkml,/train/IMG_rendering/001-equation003.png,/train/LG/CROHME2019_train/001-equation003.lg,/train/SymLG/CROHME2019_train/001-equation003.lg
8,/train/INKML/CROHME2019_train/001-equation004.inkml,/train/IMG_rendering/001-equation004.png,/train/LG/CROHME2019_train/001-equation004.lg,/train/SymLG/CROHME2019_train/001-equation004.lg
9,/train/INKML/CROHME2019_train/001-equation005.inkml,/train/IMG_rendering/001-equation005.png,/train/LG/CROHME2019_train/001-equation005.lg,/train/SymLG/CROHME2019_train/001-equation005.lg
10,/train/INKML/CROHME2019_train/001-equation006.inkml,/train/IMG_rendering/001-equation006.png,/train/LG/CROHME2019_train/001-equation006.lg,/train/SymLG/CROHME2019_train/001-equation006.lg
11,/train/INKML/CROHME2019_train/001-equation007.inkml,/train/IMG_rendering/001-equation007.png,/train/LG/CROHME2019_train/001-equation007.lg,/train/SymLG/CROHME2019_train/001-equation007.lg
12,/train/INKML/CROHME2019_train/001-equation008.inkml,/train/IMG_rendering/001-equation008.png,/train/LG/CROHME2019_train/001-equation008.lg,/train/SymLG/CROHME2019_train/001-equation008.lg
13,/train/INKML/CROHME2019_train/001-equation009.inkml,/train/IMG_rendering/001-equation009.png,/train/LG/CROHME2019_train/001-equation009.lg,/train/SymLG/CROHME2019_train/001-equation009.lg
14,/train/INKML/CROHME2019_train/002-equation000.inkml,/train/IMG_rendering/002-equation000.png,/train/LG/CROHME2019_train/002-equation000.lg,/train/SymLG/CROHME2019_train/002-equation000.lg
15,/train/INKML/CROHME2019_train/002-equation001.inkml,/train/IMG_rendering/002-equation001.png,/train/LG/CROHME2019_train/002-equation001.lg,/train/SymLG/CROHME2019_train/002-equation001.lg
16,/train/INKML/CROHME2019_train/002-equation002.inkml,/train/IMG_rendering/002-equation002.png,/train/LG/CROHME2019_train/002-equation002.lg,/train/SymLG/CROHME2019_train/002-equation002.lg
17,/train/INKML/CROHME2019_train/002-equation003.inkml,/train/IMG_rendering/002-equation003.png,/train/LG/CROHME2019_train/002-equation003.lg,/train/SymLG/CROHME2019_train/002-equation003.lg
18,/train/INKML/CROHME2019_train/002-equation004.inkml,/train/IMG_rendering/002-equation004.png,/train/LG/CROHME2019_train/002-equation004.lg,/train/SymLG/CROHME2019_train/002-equation004.lg
