,flag,img,lg,symlg
0,train,/train/CROHME/IMG_rendering/001-equation000.png,/train/CROHME/LG/CROHME2019_train/001-equation000.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation000.lg
1,train,/train/CROHME/IMG_rendering/001-equation001.png,/train/CROHME/LG/CROHME2019_train/001-equation001.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation001.lg
2,train,/train/CROHME/IMG_rendering/001-equation0010.png,/train/CROHME/LG/CROHME2019_train/001-equation0010.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation0010.lg
3,train,/train/CROHME/IMG_rendering/001-equation0011.png,/train/CROHME/LG/CROHME2019_train/001-equation0011.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation0011.lg
4,train,/train/CROHME/IMG_rendering/001-equation0012.png,/train/CROHME/LG/CROHME2019_train/001-equation0012.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation0012.lg
5,train,/train/CROHME/IMG_rendering/001-equation0013.png,/train/CROHME/LG/CROHME2019_train/001-equation0013.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation0013.lg
6,train,/train/CROHME/IMG_rendering/001-equation002.png,/train/CROHME/LG/CROHME2019_train/001-equation002.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation002.lg
7,train,/train/CROHME/IMG_rendering/001-equation003.png,/train/CROHME/LG/CROHME2019_train/001-equation003.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation003.lg
8,train,/train/CROHME/IMG_rendering/001-equation004.png,/train/CROHME/LG/CROHME2019_train/001-equation004.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation004.lg
9,train,/train/CROHME/IMG_rendering/001-equation005.png,/train/CROHME/LG/CROHME2019_train/001-equation005.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation005.lg
10,train,/train/CROHME/IMG_rendering/001-equation006.png,/train/CROHME/LG/CROHME2019_train/001-equation006.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation006.lg
11,train,/train/CROHME/IMG_rendering/001-equation007.png,/train/CROHME/LG/CROHME2019_train/001-equation007.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation007.lg
12,train,/train/CROHME/IMG_rendering/001-equation008.png,/train/CROHME/LG/CROHME2019_train/001-equation008.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation008.lg
13,train,/train/CROHME/IMG_rendering/001-equation009.png,/train/CROHME/LG/CROHME2019_train/001-equation009.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation009.lg
14,train,/train/CROHME/IMG_rendering/002-equation000.png,/train/CROHME/LG/CROHME2019_train/002-equation000.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation000.lg
15,train,/train/CROHME/IMG_rendering/002-equation001.png,/train/CROHME/LG/CROHME2019_train/002-equation001.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation001.lg
16,train,/train/CROHME/IMG_rendering/002-equation002.png,/train/CROHME/LG/CROHME2019_train/002-equation002.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation002.lg
17,train,/train/CROHME/IMG_rendering/002-equation003.png,/train/CROHME/LG/CROHME2019_train/002-equation003.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation003.lg
18,train,/train/CROHME/IMG_rendering/002-equation004.png,/train/CROHME/LG/CROHME2019_train/002-equation004.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation004.lg
19,train,/train/CROHME/IMG_rendering/002-equation005.png,/train/CROHME/LG/CROHME2019_train/002-equation005.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation005.lg
20,train,/train/CROHME/IMG_rendering/002-equation006.png,/train/CROHME/LG/CROHME2019_train/002-equation006.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation006.lg
21,train,/train/CROHME/IMG_rendering/002-equation007.png,/train/CROHME/LG/CROHME2019_train/002-equation007.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation007.lg
22,train,/train/CROHME/IMG_rendering/002-equation008.png,/train/CROHME/LG/CROHME2019_train/002-equation008.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation008.lg
23,train,/train/CROHME/IMG_rendering/002-equation009.png,/train/CROHME/LG/CROHME2019_train/002-equation009.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation009.lg
24,train,/train/CROHME/IMG_rendering/002-equation010.png,/train/CROHME/LG/CROHME2019_train/002-equation010.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation010.lg
25,train,/train/CROHME/IMG_rendering/002-equation011.png,/train/CROHME/LG/CROHME2019_train/002-equation011.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation011.lg
26,train,/train/CROHME/IMG_rendering/002-equation012.png,/train/CROHME/LG/CROHME2019_train/002-equation012.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation012.lg
27,train,/train/CROHME/IMG_rendering/002-equation013.png,/train/CROHME/LG/CROHME2019_train/002-equation013.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation013.lg
28,train,/train/CROHME/IMG_rendering/101_Fabricio.png,/train/CROHME/LG/CROHME2019_train/101_Fabricio.lg,/train/CROHME/SymLG/CROHME2019_train/101_Fabricio.lg
29,train,/train/CROHME/IMG_rendering/101_Frank.png,/train/CROHME/LG/CROHME2019_train/101_Frank.lg,/train/CROHME/SymLG/CROHME2019_train/101_Frank.lg
30,train,/train/CROHME/IMG_rendering/101_Nina.png,/train/CROHME/LG/CROHME2019_train/101_Nina.lg,/train/CROHME/SymLG/CROHME2019_train/101_Nina.lg
31,train,/train/CROHME/IMG_rendering/101_alfonso.png,/train/CROHME/LG/CROHME2019_train/101_alfonso.lg,/train/CROHME/SymLG/CROHME2019_train/101_alfonso.lg
32,train,/train/CROHME/IMG_rendering/101_carlos.png,/train/CROHME/LG/CROHME2019_train/101_carlos.lg,/train/CROHME/SymLG/CROHME2019_train/101_carlos.lg
33,train,/train/CROHME/IMG_rendering/101_caue.png,/train/CROHME/LG/CROHME2019_train/101_caue.lg,/train/CROHME/SymLG/CROHME2019_train/101_caue.lg
34,train,/train/CROHME/IMG_rendering/101_danilo.png,/train/CROHME/LG/CROHME2019_train/101_danilo.lg,/train/CROHME/SymLG/CROHME2019_train/101_danilo.lg
35,train,/train/CROHME/IMG_rendering/101_david.png,/train/CROHME/LG/CROHME2019_train/101_david.lg,/train/CROHME/SymLG/CROHME2019_train/101_david.lg
36,train,/train/CROHME/IMG_rendering/101_edwin.png,/train/CROHME/LG/CROHME2019_train/101_edwin.lg,/train/CROHME/SymLG/CROHME2019_train/101_edwin.lg
37,train,/train/CROHME/IMG_rendering/101_fujita.png,/train/CROHME/LG/CROHME2019_train/101_fujita.lg,/train/CROHME/SymLG/CROHME2019_train/101_fujita.lg
