,flag,inkml,lg,symlg
0,train,/train/CROHME/INKML/CROHME2019_train/001-equation000.inkml,/train/CROHME/LG/CROHME2019_train/001-equation000.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation000.lg
1,train,/train/CROHME/INKML/CROHME2019_train/001-equation001.inkml,/train/CROHME/LG/CROHME2019_train/001-equation001.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation001.lg
2,train,/train/CROHME/INKML/CROHME2019_train/001-equation0010.inkml,/train/CROHME/LG/CROHME2019_train/001-equation0010.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation0010.lg
3,train,/train/CROHME/INKML/CROHME2019_train/001-equation0011.inkml,/train/CROHME/LG/CROHME2019_train/001-equation0011.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation0011.lg
4,train,/train/CROHME/INKML/CROHME2019_train/001-equation0012.inkml,/train/CROHME/LG/CROHME2019_train/001-equation0012.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation0012.lg
5,train,/train/CROHME/INKML/CROHME2019_train/001-equation0013.inkml,/train/CROHME/LG/CROHME2019_train/001-equation0013.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation0013.lg
6,train,/train/CROHME/INKML/CROHME2019_train/001-equation002.inkml,/train/CROHME/LG/CROHME2019_train/001-equation002.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation002.lg
7,train,/train/CROHME/INKML/CROHME2019_train/001-equation003.inkml,/train/CROHME/LG/CROHME2019_train/001-equation003.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation003.lg
8,train,/train/CROHME/INKML/CROHME2019_train/001-equation004.inkml,/train/CROHME/LG/CROHME2019_train/001-equation004.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation004.lg
9,train,/train/CROHME/INKML/CROHME2019_train/001-equation005.inkml,/train/CROHME/LG/CROHME2019_train/001-equation005.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation005.lg
10,train,/train/CROHME/INKML/CROHME2019_train/001-equation006.inkml,/train/CROHME/LG/CROHME2019_train/001-equation006.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation006.lg
11,train,/train/CROHME/INKML/CROHME2019_train/001-equation007.inkml,/train/CROHME/LG/CROHME2019_train/001-equation007.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation007.lg
12,train,/train/CROHME/INKML/CROHME2019_train/001-equation008.inkml,/train/CROHME/LG/CROHME2019_train/001-equation008.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation008.lg
13,train,/train/CROHME/INKML/CROHME2019_train/001-equation009.inkml,/train/CROHME/LG/CROHME2019_train/001-equation009.lg,/train/CROHME/SymLG/CROHME2019_train/001-equation009.lg
14,train,/train/CROHME/INKML/CROHME2019_train/002-equation000.inkml,/train/CROHME/LG/CROHME2019_train/002-equation000.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation000.lg
15,train,/train/CROHME/INKML/CROHME2019_train/002-equation001.inkml,/train/CROHME/LG/CROHME2019_train/002-equation001.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation001.lg
16,train,/train/CROHME/INKML/CROHME2019_train/002-equation002.inkml,/train/CROHME/LG/CROHME2019_train/002-equation002.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation002.lg
17,train,/train/CROHME/INKML/CROHME2019_train/002-equation003.inkml,/train/CROHME/LG/CROHME2019_train/002-equation003.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation003.lg
18,train,/train/CROHME/INKML/CROHME2019_train/002-equation004.inkml,/train/CROHME/LG/CROHME2019_train/002-equation004.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation004.lg
19,train,/train/CROHME/INKML/CROHME2019_train/002-equation005.inkml,/train/CROHME/LG/CROHME2019_train/002-equation005.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation005.lg
20,train,/train/CROHME/INKML/CROHME2019_train/002-equation006.inkml,/train/CROHME/LG/CROHME2019_train/002-equation006.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation006.lg
21,train,/train/CROHME/INKML/CROHME2019_train/002-equation007.inkml,/train/CROHME/LG/CROHME2019_train/002-equation007.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation007.lg
22,train,/train/CROHME/INKML/CROHME2019_train/002-equation008.inkml,/train/CROHME/LG/CROHME2019_train/002-equation008.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation008.lg
23,train,/train/CROHME/INKML/CROHME2019_train/002-equation009.inkml,/train/CROHME/LG/CROHME2019_train/002-equation009.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation009.lg
24,train,/train/CROHME/INKML/CROHME2019_train/002-equation010.inkml,/train/CROHME/LG/CROHME2019_train/002-equation010.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation010.lg
25,train,/train/CROHME/INKML/CROHME2019_train/002-equation011.inkml,/train/CROHME/LG/CROHME2019_train/002-equation011.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation011.lg
26,train,/train/CROHME/INKML/CROHME2019_train/002-equation012.inkml,/train/CROHME/LG/CROHME2019_train/002-equation012.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation012.lg
27,train,/train/CROHME/INKML/CROHME2019_train/002-equation013.inkml,/train/CROHME/LG/CROHME2019_train/002-equation013.lg,/train/CROHME/SymLG/CROHME2019_train/002-equation013.lg
28,train,/train/CROHME/INKML/CROHME2019_train/101_Fabricio.inkml,/train/CROHME/LG/CROHME2019_train/101_Fabricio.lg,/train/CROHME/SymLG/CROHME2019_train/101_Fabricio.lg
29,train,/train/CROHME/INKML/CROHME2019_train/101_Frank.inkml,/train/CROHME/LG/CROHME2019_train/101_Frank.lg,/train/CROHME/SymLG/CROHME2019_train/101_Frank.lg
30,train,/train/CROHME/INKML/CROHME2019_train/101_Nina.inkml,/train/CROHME/LG/CROHME2019_train/101_Nina.lg,/train/CROHME/SymLG/CROHME2019_train/101_Nina.lg
31,train,/train/CROHME/INKML/CROHME2019_train/101_alfonso.inkml,/train/CROHME/LG/CROHME2019_train/101_alfonso.lg,/train/CROHME/SymLG/CROHME2019_train/101_alfonso.lg
32,train,/train/CROHME/INKML/CROHME2019_train/101_carlos.inkml,/train/CROHME/LG/CROHME2019_train/101_carlos.lg,/train/CROHME/SymLG/CROHME2019_train/101_carlos.lg
33,train,/train/CROHME/INKML/CROHME2019_train/101_caue.inkml,/train/CROHME/LG/CROHME2019_train/101_caue.lg,/train/CROHME/SymLG/CROHME2019_train/101_caue.lg
34,train,/train/CROHME/INKML/CROHME2019_train/101_danilo.inkml,/train/CROHME/LG/CROHME2019_train/101_danilo.lg,/train/CROHME/SymLG/CROHME2019_train/101_danilo.lg
35,train,/train/CROHME/INKML/CROHME2019_train/101_david.inkml,/train/CROHME/LG/CROHME2019_train/101_david.lg,/train/CROHME/SymLG/CROHME2019_train/101_david.lg
36,train,/train/CROHME/INKML/CROHME2019_train/101_edwin.inkml,/train/CROHME/LG/CROHME2019_train/101_edwin.lg,/train/CROHME/SymLG/CROHME2019_train/101_edwin.lg
37,train,/train/CROHME/INKML/CROHME2019_train/101_fujita.inkml,/train/CROHME/LG/CROHME2019_train/101_fujita.lg,/train/CROHME/SymLG/CROHME2019_train/101_fujita.lg
38,train,/train/CROHME/INKML/CROHME2019_train/101_herbert.inkml,/train/CROHME/LG/CROHME2019_train/101_herbert.lg,/train/CROHME/SymLG/CROHME2019_train/101_herbert.lg
39,train,/train/CROHME/INKML/CROHME2019_train/101_hirata.inkml,/train/CROHME/LG/CROHME2019_train/101_hirata.lg,/train/CROHME/SymLG/CROHME2019_train/101_hirata.lg
40,train,/train/CROHME/INKML/CROHME2019_train/101_jorge.inkml,/train/CROHME/LG/CROHME2019_train/101_jorge.lg,/train/CROHME/SymLG/CROHME2019_train/101_jorge.lg
41,train,/train/CROHME/INKML/CROHME2019_train/101_leissi.inkml,/train/CROHME/LG/CROHME2019_train/101_leissi.lg,/train/CROHME/SymLG/CROHME2019_train/101_leissi.lg
42,train,/train/CROHME/INKML/CROHME2019_train/101_leo.inkml,/train/CROHME/LG/CROHME2019_train/101_leo.lg,/train/CROHME/SymLG/CROHME2019_train/101_leo.lg
43,train,/train/CROHME/INKML/CROHME2019_train/101_miguel.inkml,/train/CROHME/LG/CROHME2019_train/101_miguel.lg,/train/CROHME/SymLG/CROHME2019_train/101_miguel.lg
44,train,/train/CROHME/INKML/CROHME2019_train/101_mijail.inkml,/train/CROHME/LG/CROHME2019_train/101_mijail.lg,/train/CROHME/SymLG/CROHME2019_train/101_mijail.lg
45,train,/train/CROHME/INKML/CROHME2019_train/101_rosario.inkml,/train/CROHME/LG/CROHME2019_train/101_rosario.lg,/train/CROHME/SymLG/CROHME2019_train/101_rosario.lg
46,train,/train/CROHME/INKML/CROHME2019_train/101_user0.inkml,/train/CROHME/LG/CROHME2019_train/101_user0.lg,/train/CROHME/SymLG/CROHME2019_train/101_user0.lg
47,train,/train/CROHME/INKML/CROHME2019_train/103_em_0.inkml,/train/CROHME/LG/CROHME2019_train/103_em_0.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_0.lg
48,train,/train/CROHME/INKML/CROHME2019_train/103_em_1.inkml,/train/CROHME/LG/CROHME2019_train/103_em_1.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_1.lg
49,train,/train/CROHME/INKML/CROHME2019_train/103_em_10.inkml,/train/CROHME/LG/CROHME2019_train/103_em_10.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_10.lg
50,train,/train/CROHME/INKML/CROHME2019_train/103_em_11.inkml,/train/CROHME/LG/CROHME2019_train/103_em_11.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_11.lg
51,train,/train/CROHME/INKML/CROHME2019_train/103_em_12.inkml,/train/CROHME/LG/CROHME2019_train/103_em_12.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_12.lg
52,train,/train/CROHME/INKML/CROHME2019_train/103_em_13.inkml,/train/CROHME/LG/CROHME2019_train/103_em_13.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_13.lg
53,train,/train/CROHME/INKML/CROHME2019_train/103_em_14.inkml,/train/CROHME/LG/CROHME2019_train/103_em_14.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_14.lg
54,train,/train/CROHME/INKML/CROHME2019_train/103_em_15.inkml,/train/CROHME/LG/CROHME2019_train/103_em_15.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_15.lg
55,train,/train/CROHME/INKML/CROHME2019_train/103_em_16.inkml,/train/CROHME/LG/CROHME2019_train/103_em_16.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_16.lg
56,train,/train/CROHME/INKML/CROHME2019_train/103_em_17.inkml,/train/CROHME/LG/CROHME2019_train/103_em_17.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_17.lg
57,train,/train/CROHME/INKML/CROHME2019_train/103_em_18.inkml,/train/CROHME/LG/CROHME2019_train/103_em_18.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_18.lg
58,train,/train/CROHME/INKML/CROHME2019_train/103_em_19.inkml,/train/CROHME/LG/CROHME2019_train/103_em_19.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_19.lg
59,train,/train/CROHME/INKML/CROHME2019_train/103_em_2.inkml,/train/CROHME/LG/CROHME2019_train/103_em_2.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_2.lg
60,train,/train/CROHME/INKML/CROHME2019_train/103_em_20.inkml,/train/CROHME/LG/CROHME2019_train/103_em_20.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_20.lg
61,train,/train/CROHME/INKML/CROHME2019_train/103_em_21.inkml,/train/CROHME/LG/CROHME2019_train/103_em_21.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_21.lg
62,train,/train/CROHME/INKML/CROHME2019_train/103_em_22.inkml,/train/CROHME/LG/CROHME2019_train/103_em_22.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_22.lg
63,train,/train/CROHME/INKML/CROHME2019_train/103_em_23.inkml,/train/CROHME/LG/CROHME2019_train/103_em_23.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_23.lg
64,train,/train/CROHME/INKML/CROHME2019_train/103_em_24.inkml,/train/CROHME/LG/CROHME2019_train/103_em_24.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_24.lg
65,train,/train/CROHME/INKML/CROHME2019_train/103_em_25.inkml,/train/CROHME/LG/CROHME2019_train/103_em_25.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_25.lg
66,train,/train/CROHME/INKML/CROHME2019_train/103_em_26.inkml,/train/CROHME/LG/CROHME2019_train/103_em_26.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_26.lg
67,train,/train/CROHME/INKML/CROHME2019_train/103_em_27.inkml,/train/CROHME/LG/CROHME2019_train/103_em_27.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_27.lg
68,train,/train/CROHME/INKML/CROHME2019_train/103_em_28.inkml,/train/CROHME/LG/CROHME2019_train/103_em_28.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_28.lg
69,train,/train/CROHME/INKML/CROHME2019_train/103_em_29.inkml,/train/CROHME/LG/CROHME2019_train/103_em_29.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_29.lg
70,train,/train/CROHME/INKML/CROHME2019_train/103_em_3.inkml,/train/CROHME/LG/CROHME2019_train/103_em_3.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_3.lg
71,train,/train/CROHME/INKML/CROHME2019_train/103_em_5.inkml,/train/CROHME/LG/CROHME2019_train/103_em_5.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_5.lg
72,train,/train/CROHME/INKML/CROHME2019_train/103_em_7.inkml,/train/CROHME/LG/CROHME2019_train/103_em_7.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_7.lg
73,train,/train/CROHME/INKML/CROHME2019_train/103_em_8.inkml,/train/CROHME/LG/CROHME2019_train/103_em_8.lg,/train/CROHME/SymLG/CROHME2019_train/103_em_8.lg
